pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1000.ply,-1.0,-1.0,27.53188070528042,0.837681,0.636886,0.737284,61.3927,59.0,,,,,,,,,,0.422816,,,,,,24.6463,,,,31.8382,44.0785,43.4331,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1001.ply,-1.0,-1.0,27.557746557978877,0.862179,0.651889,0.757034,61.3153,65.0,,,,,,,,,,0.452976,,,,,,24.859,,,,31.8417,44.155,43.7008,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1002.ply,-1.0,-1.0,27.67098692642912,0.852006,0.643694,0.74785,61.4141,61.0,,,,,,,,,,0.53664,,,,,,24.8115,,,,31.823,43.9594,43.5279,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1003.ply,-1.0,-1.0,27.73258725161118,0.832767,0.637192,0.73498,61.519,141.0,,,,,,,,,,0.41869,,,,,,24.6983,,,,31.8354,44.0237,43.5123,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1004.ply,-1.0,-1.0,27.805452412139196,0.843412,0.641262,0.742337,61.4927,41.0,,,,,,,,,,0.548022,,,,,,25.3465,,,,31.7943,44.177,43.5167,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1005.ply,-1.0,-1.0,27.860496868599924,0.834664,0.628712,0.731688,61.5493,98.0,,,,,,,,,,0.446836,,,,,,24.532,,,,31.7506,44.134,43.5746,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1006.ply,-1.0,-1.0,27.822581123243925,0.854051,0.634517,0.744284,61.464,67.0,,,,,,,,,,0.50997,,,,,,25.1769,,,,31.7338,44.1807,43.949,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1007.ply,-1.0,-1.0,27.840018156894654,0.840448,0.636683,0.738565,61.4989,81.0,,,,,,,,,,0.452329,,,,,,24.739,,,,31.6228,44.0712,43.6526,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1008.ply,-1.0,-1.0,27.831583941172983,0.839212,0.62582,0.732516,61.5393,93.0,,,,,,,,,,0.456476,,,,,,24.8201,,,,31.7159,44.2895,43.9923,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1009.ply,-1.0,-1.0,27.748520603583454,0.852305,0.640938,0.746621,61.4671,50.0,,,,,,,,,,0.431445,,,,,,24.6093,,,,31.6883,44.2626,43.5044,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1010.ply,-1.0,-1.0,27.729488256434365,0.854002,0.630974,0.742488,61.4952,52.0,,,,,,,,,,0.417144,,,,,,24.5957,,,,31.6869,44.3053,43.8644,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1011.ply,-1.0,-1.0,27.678578846286985,0.86096,0.642155,0.751558,61.4374,113.0,,,,,,,,,,0.450065,,,,,,24.7885,,,,31.6852,43.9594,43.8663,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1012.ply,-1.0,-1.0,27.64526216312429,0.863093,0.642855,0.752974,61.3913,98.0,,,,,,,,,,0.44772,,,,,,24.6693,,,,31.7352,44.2528,43.7002,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1013.ply,-1.0,-1.0,27.58013720505385,0.839042,0.618456,0.728749,61.4879,61.0,,,,,,,,,,0.508901,,,,,,25.4216,,,,31.8517,43.8889,43.6104,
/temp/pranav/dynamic_pc_data/loot/experiments/3DD_4_noQuantize_OM=4_r1/decompressed/loot_dec_1014.ply,-1.0,-1.0,27.520228841236293,0.849467,0.631323,0.740395,61.3792,45.0,,,,,,,,,,0.397817,,,,,,23.6078,,,,31.8612,44.1745,43.565,
