pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1000.ply,-1.0,-1.0,22.280189047391925,1.18287,1.04481,1.11384,59.6008,104.0,,,,,,,,,,0.682411,,,,,,23.5982,,,,30.7605,42.3222,42.0987,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1001.ply,-1.0,-1.0,22.30112100239212,1.16535,1.00252,1.08394,59.7564,137.0,,,,,,,,,,0.715345,,,,,,25.7777,,,,30.8008,42.4118,41.8733,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1002.ply,-1.0,-1.0,22.392760830556266,1.14326,1.01735,1.08031,59.8168,110.0,,,,,,,,,,0.716157,,,,,,25.8727,,,,30.8381,42.6947,42.2044,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1003.ply,-1.0,-1.0,22.44261092634627,1.16281,1.03423,1.09852,59.7737,131.0,,,,,,,,,,0.718366,,,,,,26.0921,,,,30.8879,42.789,42.2186,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1004.ply,-1.0,-1.0,22.5015770961082,1.19376,1.04999,1.12187,59.6993,102.0,,,,,,,,,,0.715017,,,,,,26.0074,,,,30.81,42.6007,42.5183,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1005.ply,-1.0,-1.0,22.5461218516621,1.14257,1.02168,1.08212,59.8498,211.0,,,,,,,,,,0.711114,,,,,,25.7703,,,,30.7808,42.2867,42.1573,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1006.ply,-1.0,-1.0,22.515438514644647,1.13351,1.01603,1.07477,59.8682,118.0,,,,,,,,,,0.707546,,,,,,25.6895,,,,30.7698,42.274,42.2536,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1007.ply,-1.0,-1.0,22.529549443364804,1.14575,1.01133,1.07854,59.8545,134.0,,,,,,,,,,0.707699,,,,,,25.625,,,,30.7063,42.8845,42.1486,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1008.ply,-1.0,-1.0,22.522724049823513,1.1472,0.999767,1.07349,59.8795,170.0,,,,,,,,,,0.708251,,,,,,25.6322,,,,30.7575,42.5264,42.6328,
/temp/pranav/dynamic_pc_data/loot/experiments/vanilla_rc_OM=4_GQP=36_AQP=46/decompressed/loot_dec_1009.ply,-1.0,-1.0,22.45550499987147,1.17499,1.02226,1.09862,59.7896,86.0,,,,,,,,,,0.699307,,,,,,25.1276,,,,30.7773,42.575,42.2287,
