pc_file,encT,decT,bpp,acd12_p2pt,acd21_p2pt,cd_p2pt,cdpsnr_p2pt,h_p2pt,acd12_p2pl,acd21_p2pl,cd_p2pl,cdpsnr_p2pl,h_p2pl,ssim_up,ssim_down,ssim_left,ssim_right,ssim_front,ssim_back,psnr_up,psnr_down,psnr_left,psnr_right,psnr_front,psnr_back,avg_ssim,avg_psnr,y_cpsnr,u_cpsnr,v_cpsnr,hybrid
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1450.ply,-1.0,-1.0,46.101866189021756,0.819833,0.786083,0.802958,60.7611,99.0,,,,,,,,,,0.00879315,,,,,,6.42816,,,,31.9318,39.0055,31.945,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1451.ply,-1.0,-1.0,46.649854004063464,0.812652,0.777008,0.79483,60.8049,153.0,,,,,,,,,,0.733352,,,,,,23.5671,,,,32.1793,39.1815,32.1161,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1452.ply,-1.0,-1.0,47.28254698801282,0.833309,0.79268,0.812994,60.7078,201.0,,,,,,,,,,0.00833018,,,,,,6.4114,,,,32.2566,39.0966,32.1658,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1453.ply,-1.0,-1.0,47.9841605867549,0.829352,0.788228,0.80879,60.729,164.0,,,,,,,,,,0.0080062,,,,,,6.40589,,,,32.3912,39.297,32.203,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1454.ply,-1.0,-1.0,48.874324630836966,0.809963,0.777987,0.793975,60.8087,129.0,,,,,,,,,,0.778779,,,,,,25.3912,,,,32.4698,39.3773,32.2057,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1455.ply,-1.0,-1.0,49.47483750941974,0.79626,0.736722,0.766491,60.9493,108.0,,,,,,,,,,0.00788473,,,,,,6.39769,,,,32.4688,39.4525,32.0424,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1456.ply,-1.0,-1.0,48.86359665253233,0.838819,0.748909,0.793864,60.7892,144.0,,,,,,,,,,0.766879,,,,,,24.8094,,,,32.5419,39.488,32.2547,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1457.ply,-1.0,-1.0,48.440748896139084,0.82343,0.751148,0.787289,60.8242,153.0,,,,,,,,,,0.776792,,,,,,25.3187,,,,32.4835,39.4668,32.3506,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1458.ply,-1.0,-1.0,47.949321008786946,0.838332,0.755201,0.796766,60.7687,194.0,,,,,,,,,,0.008478,,,,,,6.40321,,,,32.571,39.4809,32.4961,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1459.ply,-1.0,-1.0,47.16346508661875,0.8187,0.746175,0.782438,60.8495,222.0,,,,,,,,,,0.77528,,,,,,25.061,,,,32.3414,39.2971,32.396,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1460.ply,-1.0,-1.0,47.28001980409697,0.843095,0.730255,0.786675,60.8175,189.0,,,,,,,,,,0.00918939,,,,,,6.41699,,,,32.3973,39.3084,32.4028,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1461.ply,-1.0,-1.0,47.23590415216939,0.794828,0.737489,0.766159,60.9969,118.0,,,,,,,,,,0.764077,,,,,,24.2952,,,,32.3669,39.4892,32.3594,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1462.ply,-1.0,-1.0,47.22787387126642,0.825166,0.721959,0.773562,61.1724,314.0,,,,,,,,,,1.0,,,,,,inf,,,,32.197,39.3331,32.2325,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1463.ply,-1.0,-1.0,47.2912611934524,0.789662,0.727544,0.758603,61.2636,138.0,,,,,,,,,,0.00942833,,,,,,6.42081,,,,32.18,39.4216,32.1562,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1464.ply,-1.0,-1.0,47.69615798831093,0.807014,0.743151,0.775083,60.9333,149.0,,,,,,,,,,0.764905,,,,,,24.4931,,,,32.1349,39.3007,32.1453,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1465.ply,-1.0,-1.0,48.300704083685375,0.781192,0.72201,0.751601,61.0045,155.0,,,,,,,,,,0.00935384,,,,,,6.40621,,,,32.3154,39.259,32.239,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1466.ply,-1.0,-1.0,48.50918610171889,0.804657,0.712537,0.758597,60.9734,122.0,,,,,,,,,,0.00920182,,,,,,6.39705,,,,32.4068,39.2969,32.2311,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1467.ply,-1.0,-1.0,48.544143259441114,0.838941,0.709923,0.774432,60.8904,141.0,,,,,,,,,,0.00935238,,,,,,6.39924,,,,32.549,39.332,32.2059,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1468.ply,-1.0,-1.0,49.08815729523231,0.778183,0.710923,0.744553,61.0587,148.0,,,,,,,,,,0.757425,,,,,,24.2433,,,,32.5912,39.4391,32.117,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1469.ply,-1.0,-1.0,49.094107870242574,0.784131,0.701968,0.74305,61.0705,154.0,,,,,,,,,,0.765018,,,,,,24.6636,,,,32.4528,39.2441,32.016,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1470.ply,-1.0,-1.0,48.73671115853818,0.753792,0.719241,0.736516,61.1151,266.0,,,,,,,,,,0.739354,,,,,,23.7007,,,,32.3949,39.2577,31.8136,
/home/p/pranav/dynamic_pc_data/redandblack/experiments/vanilla_r1/decompressed/redandblack_dec_1471.ply,-1.0,-1.0,48.33682091398004,0.769713,0.715704,0.742709,61.076,100.0,,,,,,,,,,0.00951926,,,,,,6.40296,,,,32.2995,39.1028,31.8929,
